Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KNG1,2.6458568183426974,-0.8872312333212382,2.3351300310282013,-0.37994939105407066,0.7039829829261216,NA
BCL6,908.6479292851026,-0.37681747832053353,0.1634113705780011,-2.3059440538788416,0.021113758617074662,0.04847521708395206
HGD,3.9489819494648097,-1.6715026133580044,1.8669217138139256,-0.8953254981127728,0.3706131137551868,NA
ARL6,61.304908651854134,0.8537683413970312,0.49048860281768275,1.7406486847858145,0.0817451782732495,0.15261405873205158
NPHP3,385.69778311716425,0.32837460177034455,0.2013894700520556,1.6305450413344131,0.10298635383939835,0.18437469080041743
CD86,2.8446253332707974,-2.3815802362548895,2.3151400162397144,-1.028698143330047,0.30362154267932334,NA
AMOTL2,3.9303651895215603,-2.878660996985766,2.033330574832383,-1.415736837195333,0.15685256873866413,NA
NIT2,589.3760068407187,0.303892791686448,0.16878354668081572,1.8004882446340316,0.07178357811334884,0.13705769241663057
FAM162A,973.2343996735794,0.6779120921614677,0.14416735450987095,4.702257972799605,2.5730012476147174e-6,1.387477994877518e-5
OGG1,2795.5636064847777,-0.41332629700254747,0.10487326330797042,-3.941198013346596,8.107566137032425e-5,3.2912640697358163e-4
KPNA1,2011.9256373869464,0.48064162012909895,0.11887477911143557,4.043259837972325,5.271314722210716e-5,2.2202366102989766e-4
PCCB,3868.8777899854394,-0.03324804877112085,0.10214409434633809,-0.32550142995430853,0.7448016005523093,0.8272101459398165
UBE3A,3962.1251052118064,0.5858221845222336,0.09888199090246205,5.924457822659467,3.1332941338345517e-9,2.9288087465009625e-8
ARMC8,1173.5103432096566,0.6516349036111521,0.13207084374340483,4.933980015128755,8.057068744254471e-7,4.811221050140527e-6
CEP70,482.5690884680295,0.9212064555632608,0.1985131059811294,4.640532175496919,3.47513059273451e-6,1.822271136212752e-5
RBP1,3.533641549803347,-1.5002397480511755,1.9048692686206687,-0.7875814748890937,0.4309415540802744,NA
SLC25A36,3073.1201515215917,0.743330052548179,0.11207804215615016,6.632254081602812,3.3059885218119474e-11,4.423207688718074e-10
GRK7,6.072857570951256,-1.1616205203015817,1.454795371107165,-0.798476915291211,0.42459378421044064,NA
RNF7,2258.9115485966404,0.29456912735386864,0.11809665332968744,2.4943054612354465,0.012620388511028386,0.03091263433092383
TFDP2,4465.557373745706,0.3530465218302156,0.09843940670632932,3.5864348805295667,3.3522972876859277e-4,0.0011962592136413389
XRN1,1830.836606917826,0.4650992537986599,0.11652299126155903,3.9914805547229055,6.566207317508837e-5,2.7149530672456883e-4
KAT2B,1577.342412261352,0.45402292402173294,0.12144224922894391,3.7385911979100888,1.850543626938674e-4,6.978640781171391e-4
PDCD10,1999.7070509175364,0.7561593868725037,0.11708341056754669,6.4582965529199985,1.0588809059178483e-10,1.2915628589472654e-9
PFKFB4,1051.8429061220502,-0.14726587055228346,0.13993187054982276,-1.0524112196431294,0.29261092333066674,0.4213298125890929
COL7A1,157.4373796234166,-0.3783593356794256,0.3225073697840853,-1.173180432846333,0.2407234570296723,0.36269268776173497
FGF12,4.583940620351473,2.7305851985058225,1.9353368163031655,1.410909550990572,0.15827128559069353,NA
PRKAR2A,5634.776514610523,0.2546831311668106,0.09868393252569327,2.58079633278195,0.009857271651980103,0.0248275653628264
HES1,621.353237130498,-0.33120729776145663,0.1820286115166029,-1.819534275419373,0.06882995854420955,0.13218094853421808
USP4,1321.8905013816698,0.10781566200385785,0.13072116012091856,0.8247758962980984,0.40949883354674216,0.5426187493373308
ACAP2,2896.8780722564466,0.5065346427026456,0.10704382902167686,4.732030303214116,2.2228521807105557e-6,1.2148287929537046e-5
ECT2,1282.7908711211626,0.8993453382353598,0.12942361434792654,6.9488504301670195,3.682747365703104e-12,5.915934380747179e-11
GNAT1,6.719909760961546,-1.150871965155217,1.4651538409171379,-0.7854956476343872,0.43216302116586097,NA
GNAI2,10024.780381191678,-0.5871607328409056,0.10736193522919446,-5.468984250213492,4.526219623771366e-8,3.4131443459924216e-7
TFG,2556.0158405553616,-0.0018222413357610887,0.10855469605909826,-0.016786388815174264,0.9866070285206366,0.9915737185205098
HYAL1,170.19007157102436,-0.9440551092050168,0.3203192443633206,-2.9472319438111145,0.003206326053910293,0.009171678472365281
TUSC2,2121.7227268672236,-0.2574308286776856,0.1309140465833361,-1.9664110566914035,0.04925114726670689,0.09981438491175515
NPRL2,1213.919416785978,-0.5170381703033239,0.13051268005699349,-3.9615933875355167,7.445125130813776e-5,3.039123344414217e-4
RPL24,11719.958628518261,0.6424257598373581,0.09472382597874845,6.7820926065791305,1.1844750405252827e-11,1.720391509117007e-10
CYB561D2,1766.6785541433885,-0.7366300647099915,0.12373602123793331,-5.953238655488345,2.6288750778745616e-9,2.491470867360354e-8
FXR1,4830.056105126068,0.41283206812988005,0.09756531181084004,4.231340631906966,2.3230255962094046e-5,1.0456511723585973e-4
CBLB,519.3247089063397,-0.08101607034542291,0.17808417030844262,-0.45493134064135343,0.6491586348242484,0.7544671802545372
BBX,1062.5995373113267,0.17025612037006094,0.13647742600117022,1.2475038939304226,0.2122127933508392,0.329044803668562
IFT57,349.09811881878534,0.4711871857769998,0.2167739238659488,2.1736340671139858,0.029732627841723463,0.06509442339810556
GNB4,1827.038694430877,0.5846784871963319,0.1176871885287121,4.968072519241872,6.762167568292228e-7,4.095876664687071e-6
HHLA2,8.880645774366492,-0.6258767042730592,1.2036628395818332,-0.519976760677015,0.6030797726519237,NA
IQCG,164.71280382300213,-0.1064995302956588,0.2954631819749661,-0.36044941228813493,0.718511080719356,0.8077249183378333
GBE1,1233.2294834824115,0.6700169176031711,0.13387300557835694,5.004869463478243,5.589989883858637e-7,3.4415271052407204e-6
MORC1,52.13219859551354,-0.36395570176976566,0.5001145866392358,-0.727744623918178,0.46676992844399623,0.598789591580796
UMPS,1167.4514875728141,0.20023505144370185,0.15398534148800905,1.3003513809091647,0.19348056537237782,0.3058320695381388
NCBP2,3065.438288964826,0.7484201572787861,0.10443481022992328,7.166385955325309,7.700348915495609e-13,1.4065356735709782e-11
SNX4,1360.4246720794476,0.5891135686537129,0.13009953828938914,4.528175706075974,5.949510158128029e-6,3.002733202583427e-5
C3orf52,68.71884307441742,-0.728077105971961,0.44943704374892385,-1.6199757365320742,0.10523748909865732,0.18765068217816264
FRMD4B,9.92993193376775,-1.3594472139839835,1.1426385584501269,-1.1897438642609222,0.23414707923558173,NA
SLC41A3,1607.557782591616,-0.790578441974145,0.1270246033770099,-6.223821377561815,4.851894463922967e-10,5.255557260294082e-9
PLXNA1,9637.223116174806,-0.8588819110798556,0.10989778787945928,-7.815279339579746,5.484127127870436e-15,1.4774402187770354e-13
ATP6V1A,2958.9398957299936,0.5631819736701855,0.10510075477147376,5.358495996482065,8.391759595050079e-8,6.032526674863117e-7
ABTB1,958.8163675813817,-1.0170828991267322,0.1579308749320845,-6.44005106388546,1.1943331331090143e-10,1.4406734117788263e-9
PODXL2,2287.452166258799,-0.3721914636188847,0.11108256309215439,-3.3505840454015603,8.064133396149503e-4,0.0026473771260011303
CSPG5,244.5895671708795,0.10938121335810454,0.2463977898983884,0.4439212437871788,0.6570995248920678,0.7609409457067636
KLHL18,3574.3705239708415,-0.38386624475872433,0.11981634168988156,-3.2037887265184435,0.001356319672316283,0.004240901904541701
SCAP,15053.585737178917,-0.7549027491925421,0.10225829655131272,-7.382312972656801,1.55562975264715e-13,3.217398826959288e-12
EFCC1,13.07251317040864,-0.8580401550429839,0.9990429905351352,-0.8588620941961432,0.3904166045901184,NA
KIAA1257,265.17572365711345,-0.6332304387590408,0.23906046944069373,-2.648829562832148,0.00807710543419672,0.02084634452047002
NEK11,37.89150476693149,-0.3565876159874935,0.6307670083466876,-0.5653238220593534,0.5718535283741442,0.6916094174251466
MRPL3,3175.1815718736725,0.7221889117071554,0.10805631445916974,6.683449415443855,2.333824424400397e-11,3.211232428722792e-10
PLSCR4,19.774096088700748,0.2257418538284592,0.8145118644302612,0.27714986568840494,0.7816650335871586,0.8544582575562153
